Hypo_side,Length,Width,Points
151.1348809,188.9186012,37.78372024,64412
152.1917682,190.2397103,38.04794206,65323
153.2486555,191.5608194,38.31216388,66240
154.3055428,192.8819285,38.5763857,67126
155.3624301,194.2030376,38.84060752,68056
156.4193173,195.5241467,39.10482934,68992
157.4762046,196.8452558,39.36905116,69896
158.5330919,198.1663649,39.63327298,71043
159.5899792,199.487474,39.8974948,71960
160.6468665,200.8085831,40.16171662,72923
161.7037537,202.1296922,40.42593844,73892
162.760641,203.4508013,40.69016026,74827
163.8175283,204.7719104,40.95438208,75809
164.8744156,206.0930195,41.2186039,76797
165.9313029,207.4141286,41.48282571,77958
166.9881901,208.7352377,41.74704753,78751
168.0450774,210.0563468,42.01126935,79759
169.1019647,211.3774559,42.27549117,80561
170.158852,212.698565,42.53971299,81579
171.2157393,214.0196741,42.80393481,82776
172.2726265,215.3407832,43.06815663,83593
173.3295138,216.6618923,43.33237845,84630
174.3864011,217.9830014,43.59660027,85631
175.4432884,219.3041105,43.86082209,86900
176.5001757,220.6252196,44.12504391,87914
177.5570629,221.9463287,44.38926573,88978
178.6139502,223.2674378,44.65348755,90048
179.6708375,224.5885469,44.91770937,91080
180.7277248,225.909656,45.18193119,92163
181.7846121,227.2307651,45.44615301,93434
182.8414993,228.5518742,45.71037483,94531
183.8983866,229.8729833,45.97459665,95404
184.9552739,231.1940924,46.23881847,96929
186.0121612,232.5152015,46.50304029,97395
187.0690484,233.8363106,46.76726211,98281
188.1259357,235.1574197,47.03148393,99829
189.182823,236.4785288,47.29570575,100726
190.2397103,237.7996379,47.55992757,102055
191.2965976,239.120747,47.82414939,103201
192.3534848,240.4418561,48.08837121,104353
193.4103721,241.7629652,48.35259303,105464
194.4672594,243.0840743,48.61681485,106872
195.5241467,244.4051834,48.88103667,107800
196.581034,245.7262925,49.14525849,108929
197.6379212,247.0474016,49.40948031,110360
198.6948085,248.3685106,49.67370213,111502
199.7516958,249.6896197,49.93792395,112700
200.8085831,251.0107288,50.20214577,113904
201.8654704,252.3318379,50.46636759,115317
202.9223576,253.652947,50.73058941,116281
203.9792449,254.9740561,50.99481123,117249
205.0361322,256.2951652,51.25903305,118478
206.0930195,257.6162743,51.52325487,119455
207.1499068,258.9373834,51.78747669,120902
208.206794,260.2584925,52.05169851,122149
209.2636813,261.5796016,52.31592033,123402
210.3205686,262.9007107,52.58014215,124610
211.3774559,264.2218198,52.84436397,125876
212.4343432,265.5429289,53.10858579,127148
213.4912304,266.864038,53.37280761,128374
214.5481177,268.1851471,53.63702943,129927
215.605005,269.5062562,53.90125125,131166
216.6618923,270.8273653,54.16547307,132465
217.7187795,272.1484744,54.42969489,133770
218.7756668,273.4695835,54.69391671,135301
219.8325541,274.7906926,54.95813853,136345
220.8894414,276.1118017,55.22236035,137890
221.9463287,277.4329108,55.48658217,139222
223.0032159,278.7540199,55.75080399,139780
224.0601032,280.075129,56.01502581,141625
225.1169905,281.3962381,56.27924763,142693
226.1738778,282.7173472,56.54346945,144047
227.2307651,284.0384563,56.80769127,145636
228.2876523,285.3595654,57.07191309,146719
229.3445396,286.6806745,57.33613491,148322
230.4014269,288.0017836,57.60035673,149703
231.4583142,289.3228927,57.86457855,151090
232.5152015,290.6440018,58.12880036,152426
233.5720887,291.9651109,58.39302218,153826
234.628976,293.28622,58.657244,155232
235.6858633,294.6073291,58.92146582,156586
236.7427506,295.9284382,59.18568764,158005
237.7996379,297.2495473,59.44990946,159668
238.8565251,298.5706564,59.71413128,161101
239.9134124,299.8917655,59.9783531,162240
240.9702997,301.2128746,60.24257492,164227
242.027187,302.5339837,60.50679674,164833
243.0840743,303.8550928,60.77101856,166288
244.1409615,305.1762019,61.03524038,167995
245.1978488,306.497311,61.2994622,169158
246.2547361,307.8184201,61.56368402,170879
247.3116234,309.1395292,61.82790584,172361
248.3685106,310.4606383,62.09212766,173849
249.4253979,311.7817474,62.35634948,175282
250.4822852,313.1028565,62.6205713,177096
251.5391725,314.4239656,62.88479312,178290
252.5960598,315.7450747,63.14901494,179741
253.652947,317.0661838,63.41323676,181578
254.7098343,318.3872929,63.67745858,183042
255.7667216,319.708402,63.9416804,184576
256.8236089,321.0295111,64.20590222,186116
257.8804962,322.3506202,64.47012404,187921
258.9373834,323.6717293,64.73434586,189151
259.9942707,324.9928384,64.99856768,190385
261.051158,326.3139475,65.2627895,191950
262.1080453,327.6350566,65.52701132,193193
263.1649326,328.9561657,65.79123314,195032
264.2218198,330.2772748,66.05545496,196615
265.2787071,331.5983839,66.31967678,198204
266.3355944,332.919493,66.5838986,199734
267.3924817,334.2406021,66.84812042,201670
268.449369,335.5617112,67.11234224,203213
269.5062562,336.8828203,67.37656406,204492
270.5631435,338.2039294,67.64078588,206451
271.6200308,339.5250385,67.9050077,208012
272.6769181,340.8461476,68.16922952,209647
273.7338054,342.1672567,68.43345134,211288
274.7906926,343.4883658,68.69767316,213211
275.8475799,344.8094749,68.96189498,214521
276.9044672,346.130584,69.2261168,216458
277.9613545,347.4516931,69.49033862,218126
279.0182418,348.7728022,69.75456044,218824
280.075129,350.0939113,70.01878226,221131
281.1320163,351.4150204,70.28300408,222465
282.1889036,352.7361295,70.5472259,224155
283.2457909,354.0572386,70.81144772,226136
284.3026781,355.3783477,71.07566954,227485
285.3595654,356.6994568,71.33989136,229480
286.4164527,358.0205659,71.60411318,231197
287.47334,359.341675,71.868335,232920
288.5302273,360.6627841,72.13255682,234578
289.5871145,361.9838932,72.39677864,236314
290.6440018,363.3050023,72.66100046,238056
291.7008891,364.6261114,72.92522228,240097
292.7577764,365.9472205,73.1894441,241487
293.8146637,367.2683296,73.45366592,243542
294.8715509,368.5894387,73.71788774,245311
295.9284382,369.9105478,73.98210956,246716
296.9853255,371.2316569,74.24633138,249165
298.0422128,372.552766,74.51055319,249911
299.0991001,373.8738751,74.77477501,251702
300.1559873,375.1949842,75.03899683,253801
301.2128746,376.5160933,75.30321865,255230
302.2697619,377.8372024,75.56744047,257343
303.3266492,379.1583115,75.83166229,259161
304.3835365,380.4794206,76.09588411,260985
305.4404237,381.8005297,76.36010593,262740
306.497311,383.1216388,76.62432775,264960
307.5541983,384.4427479,76.88854957,266420
308.6110856,385.763857,77.15277139,268193
309.6679729,387.0849661,77.41699321,270436
310.7248601,388.4060752,77.68121503,272222
311.7817474,389.7271843,77.94543685,274092
312.8386347,391.0482934,78.20965867,275968
313.895522,392.3694025,78.47388049,278165
314.9524092,393.6905116,78.73810231,279661
316.0092965,395.0116207,79.00232413,281557
